"1 Day Freight","1 день доставки"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"Gateway URL","URL шлюза"
"Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount.","Used only when 'Additional Protection Value' is set to 'Configuration'. Can contain only numeric amount."
"UserId","UserId"
"USPS","USPS"
"Worldwide Expedited","Worldwide Expedited"
"Worldwide Express","Worldwide Express"
"Worldwide Express Letter","Worldwide Express Letter"
"Worldwide Express Plus","Worldwide Express Plus"
"Worldwide Express Plus Letter","Worldwide Express Plus Letter"
"Worldwide Express Saver","Worldwide Express Saver"
"Gateway XML URL","XML URL шлюза"
"Tracking XML URL","XML URL отслеживания"
"Large","Крупный"
"Kilograms","Килограмм"
"Shipping key","Ключ доставки"
"Shipping key (International)","Ключ доставки (международный)"
"Container","Контейнер"
"Empty response","Пустой ответ"
"Rectangular","Прямоугольный"
"Priority Overnight","Приоритетная ночная"
"Europe First Priority","Приоритетно для Европы"
"Priority Mail","Приоритетное письмо"
"Shipment picked up","Прием отправления"
"Origin of the shipment","Происхождение груза"
"Password","Пароль"
"Letter","Письмо"
"Delivered","Поставка"
"Parcel","Посылка"
"Handling fee","Пошлина"
"Parcel Post","Почтовая посылка"
"Sort order","Порядок сортировки"
"Subtotal","Подытог"
"Please enter the package weight","Пожалуйста, введите вес посылки"
"Show method if not applicable","Показывать метод если не применимо"
"Receiver","Получатель"
"First Overnight","Первый ночлег"
"First-Class","Первый-класс"
"Oversize","Переразмер"
"Variable","Переменная"
"Error #%s: %s","Ошибка # %s: %s"
"Error #%s : %s (%s)","Ошибка # %s: %s ( %s)"
"Shipment type","Отгрузка типа"
"Displayed Error Message","Отображать сообщения об ошибке"
"Sender","Отправитель"
"Package Description","Описание пакета"
"Next Afternoon","На следующий день"
"Ground","Наземный"
"Account number","Номер аккаунта"
"Non-rectangular","Не прямоугольные"
"No","Нет"
"Unable to retrieve tracking","Невозможно получить отслеживание"
"Response is in the wrong format","Неверный формат ответа"
"Unknown error","Неизвестная ошибка"
"Invalid DHL XML code type: %s","Неправильный dhl xml типа код: %s"
"Invalid DHL XML code for type %s: %s","Неправильный dhl xml код для типа %s: %s"
"Invalid FedEx XML code for type %s: %s","Неправильный fedex xml тип кода %s: %s"
"Invalid FedEx XML code type: %s","Неправильный fedex xml тип кода: %s"
"Invalid UPS CGI code for type %s: %s","Неправильный UPS CGI тип кода %s: %s"
"Invalid UPS CGI code type: %s","Неправильный UPS CGI тип кода: %s"
"Invalid USPS XML code for type %s: %s","Неправильный USPS XML тип кда %s: %s"
"Invalid USPS XML code type: %s","Неправильный USPS XML тип кода: %s"
"Allowed methods","Разрешенные методы"
"Machinable","Разбиваемый"
"Size","Размер"
"Regular","Регулярный"
"Regular Pickup","Регулярный прием"
"Station","Станция"
"Standard Overnight","Стандартный Overnight"
"Bound Printed Matter","Связать с печатным материалом"
"Free method","Свободный метод"
"Second Day Service","Сервис на второй день"
"Third Party","Третья сторона"
"UPS type","Тип UPS"
"Shipment Duty Payment Type","Тип облагаемой пошлины а доставку"
"Destination type","Тип пункта назначения"
"Packaging","Упаковка"
"Express","Экспресс"
"Express 10:30 AM","Экспресс 10:30 утра"
"Express Saturday","Экспресс суббота"
"Express Saver","Экспресс хранитель"
"Express Mail","Экспресс-почта"
" was not delivered nor scanned","не был ни отправлен ни отсканирован"
"Minimum order amount for free shipping","Минимальная сума доставки для бесплатной доставки"
"Pickup method","Метод приема"
"Media Mail","Медиа почта"
"Order","Заказ"
"Library","Библиотека"
"Business Service Center","Бизнес сервис-центр"
"All Services","Все службы"
"Request Courier","Вызов курьера"
"Your Packaging","Ваша посылка"
"Weight Unit","Вес объекта"
"Yes","Да"
"Ship to Specific countries","Доставка для конкретных стран"
"Ship to applicable countries","Доставка для применимых стран"
"Home Delivery","Доставка на дом"
"Shipment Dutiable","Доставка, облагаемая пошлиной"
"Drop Box","Добавленные"
"Access license number","Лицензионный номер доступа"
